,r
cb_nutrition_facts_use_freq,-0.019020267984855486
tooth_13_sealant,-0.01875360900551808
hba1c_pct,-0.018699101014236264
d1_pufa_c20_5_g,-0.018659394333243304
sea_bass_past30d,0.018651992837145366
pf_difficulty_walking_quarter_mile,-0.018318108389118834
oh_avoid_foods_due_mouth,-0.01824132563869464
d1_theobromine_mg,-0.018240965188280955
grip_hand2_trial2_effort,0.017966256248459406
wh_trying_change_weight,-0.017692858491999072
smoke_questionnaire_source_a,-0.01765743280558001
oh_avoid_smile_mouth,-0.017596746865574525
methyl_mercury_ugl,-0.01741182330382223
hepatitis_b_surface_ab,-0.017237018493527483
grip_hand1_trial2_effort,0.017182819899616748
smoke_car_exposure_days,0.017077951706466074
fs_hh_ate_less_12mo,-0.017024852075721672
shark_past30d,-0.017012882424414424
household_size,-0.01699909333302241
bp_enhancement_1,0.01698549322751748
mc_copd_ever,0.01695678864848441
tooth_20_count_code,0.016916791848362873
dis_diff_dressing_bathing,-0.016891265350545026
px_exam_session_minutes,0.016836846019694388
d1_lutein_zeaxanthin_mcg,0.016800016708663046
cs_taste_phantom_sour,-0.01676831486917702
d1_bottled_water_g,0.016659009868696593
tooth_11_count_code,0.01663540614106987
sub_h_weight_a,0.016308678318710235
d1_tap_water_source,0.01612411328391189
hh_num_rooms,-0.01606304089291704
oh_satisfied_with_smile,0.015881037761423238
tooth_27_count_code,0.0156550392739216
oh_rinse_days_per_week,0.015645103872353704
care_routine_place_type,-0.015621596400613126
marital_status,0.015614039034433246
tooth_06_count_code,0.015549560857683326
lymphocyte_pct,0.01550088544448981
d1_beta_cryptoxanthin_mcg,0.015418443052211636
haddock_past30d,0.015381866286034185
tooth_14_count_code,-0.015075848267836632
waist_circ_cm,-0.014985245173725388
grip_hand2_trial3_effort,0.014974773220418893
osteo_father_hip_fracture,0.01487017511643246
pf_limited_type_work,-0.014835185983732749
trout_past30d,0.014825197357946717
cs_quinine_tongue_tip_taste,-0.014762334756061875
cv_chest_pain_ever,-0.014751744089280743
mc_coronary_disease_ever,0.014483149169054847
alc_days_drink_past_year_num,-0.014354674285297388
fs_hh_hungry_not_eat_12mo,-0.014154643818671948
exam_period_6mo,0.014110536055218241
breaded_fish_past30d,0.014097035246963253
hep_told_hepatitis_c,0.013890313366826968
inc_social_security,-0.013761707647664085
oh_avoid_laughing_mouth,-0.013731776354606486
unknown_shellfish_past30d,-0.013693140822112232
grip_preferred_hand,-0.013441049111508776
ec_mom_smoked_in_pregnancy,-0.013375167307274194
bp_diastolic_3,-0.01311980050775764
occ_industry_code,0.013072443970670018
smoke_car_rules,-0.01295041069096869
wh_weight_age_25_lb,-0.012899888262625961
cb_nutrition_facts_portion,-0.012859816228334743
pa_questionnaire_source,-0.012813374456954576
occ_class_worker,0.012701075516146352
tooth_13_count_code,0.012642879272330843
bmi_category_child,0.012635587671876707
pollock_past30d,-0.012552553288261107
oh_oral_health_self_rated,-0.012354075472249836
db_milk_age_child_1_5,-0.012330102776433116
cod_past30d,0.012289801058078262
inc_retirement_income,-0.012279027057052559
db_meals_not_home_past_7d,-0.012262837504800304
cb_money_spent_food_other_stores,-0.0122588276766353
cs_smell_problem_past_12mo,0.01214784212963534
hep_told_hepatitis_b,0.012129883225170883
mec_interview_proxy_used,0.012009701690457663
salt_freq_added_when_cooking,0.011972257777538497
race_ethnicity_asian_detail,-0.011941571954042041
cs_salt_tongue_tip_taste,-0.011916333798655762
pf_limited_playing_sports,-0.011631014701991222
inc_monthly_family_range,-0.01154495479145686
pa_tv_hours_day,-0.011450305320271385
sleep_hours_weekday,0.011428704341079
diab_prediabetes_told,-0.011417766941507727
hh_ref_country_of_birth,-0.011351363987768644
blood_total_mercury_nmoll,-0.011326581732173515
oh_mouth_problem_avoid_people,0.01111667152362719
blood_selenium_ugl,-0.010971519076570421
salmon_past30d,-0.010931214199996181
smoke_other_indoor_exposure,-0.010916360069143136
tooth_10_count_code,0.010818405930706461
mackerel_past30d,0.010772224850301503
grip_start_testing_hand,0.010618680307576352
porgy_past30d,-0.01057233234783815
mc_on_gluten_free_diet,-0.01012153456232337
mec_interview_interpreter_used,-0.010115050962585729
bp_checked_cholesterol_ever,-0.010093052221698741
sp_interview_interpreter_used,-0.009991253773121718
pseudo_psu_var,-0.009798444910685813
d1_food_amount_vs_usual,-0.00966024460525492
inc_interest_dividends,-0.009644327116075577
px_exam_status,0.009558103912321465
dis_diff_concentration_remember,0.009543741352135496
care_mental_health_prof_visit,-0.009472032702420126
osteo_parent_osteoporosis,0.009458537017855609
wh_weight_10yr_ago_lb,0.009351459851149678
fs_hh_food_not_last_12mo,-0.009326068708899156
tooth_24_count_code,-0.009178353753648633
fs_child_food_security_cat,-0.00909462151079208
mc_chf_ever,-0.009083668748711901
diab_taking_insulin,0.009046893362203138
tissue_transglutaminase_ab,-0.009018918463485391
pa_computer_hours_day,0.00895182317637471
db_fast_food_past_7d,-0.008929109647123476
tooth_20_sealant,-0.00889066380846055
tooth_22_count_code,0.008764445202300497
num_children_le5_in_hh,0.008716000359912811
infant_breast_fed,-0.008694985501948985
salt_type_at_table,-0.00858667284822309
pseudo_stratum_var,-0.008482625633804844
d1_added_alpha_tocopherol_mg,-0.008448391818322135
d1_plain_water_g,0.008305282922527017
mc_jaundice_ever,0.008259804581049388
smoke_hh_num_smokers,-0.008142867201993578
inc_self_employment,-0.008088653276011661
grip_90deg_arm_possible,0.008085528273876732
sun_burn_severity,0.00793003264126877
fs_food_stamp_receipt_12mo,0.007819090616463744
mc_celiac_disease_ever,-0.007809700351003948
inc_supplemental_security,-0.00779111317234298
db_healthy_diet_gen,0.007728387418109172
family_interview_proxy_used,-0.007717592493422336
fs_hh_child_not_eating_12mo,0.00767182397190612
hh_ref_spouse_education,-0.007552855712101151
smoke_home_rules,0.007543283774397012
tooth_07_count_code,0.007428154967573436
blood_donation_past_12mo,0.007381190321287677
mc_stroke_ever,-0.007317736599256335
osteo_mother_hip_fracture,0.007254212198650178
mc_asthma_ever,-0.007234404881600013
fs_hh_child_small_meals_12mo,0.007176189446629344
interview_weight_2yr,0.0070196602397305215
oh_reason_last_dental_visit,-0.006995840836883572
family_size,-0.006946494931863805
fs_hh_food_worried_12mo,-0.0069236822472575395
sp_interview_language,0.006761482322313537
mec_weight_2yr,0.006754994690954108
mcv_fl,-0.0066496351844845735
fs_hh_weight_loss_food_12mo,0.006518665180768515
bp_chol_told_high_time,-0.006433194821920546
tooth_25_count_code,-0.006412395474978432
interview_exam_status,-0.006361074107335223
cs_hit_head_past_12mo,0.006346375115564253
shellfish_past30d,-0.00632838911595101
hh_ref_marital_status,-0.0062845477804773855
d1_recall_status,-0.006249339855914983
cs_taste_phantom_bitter,0.006230005052131618
took_supplements_before_draw,0.006175468686842914
flu_pneumonia_ear_past_30d,-0.006153212918437709
cs_taste_phantom_salt,-0.006139649069282972
crayfish_past30d,0.006057159241410733
fs_food_stamp_hh_any_12mo,-0.006014239990517753
ec_birth_weight_lb,-0.00599710763221677
cb_money_spent_food_fast_food,0.005973979176889005
pf_physical_health_impairs,-0.005969534555661349
imm_hep_a_vaccine_ever,0.005855383386700279
osteo_other_bone_fx_after_20,0.005801568544934663
mec_interview_language,0.005790020945798428
smoke_exposure_any_location,-0.005774920866069814
ethyl_mercury_below_lod,-0.005767266773891061
oh_gentle_brush_days_per_week,0.005742052406703549
pa_sedentary_minutes_day,-0.005725376836316908
d1_tap_water_g,-0.005660304426768392
us_citizenship_status,0.005626710773466116
sx_ever_had_sex,-0.005551737000601655
fs_hh_food_balanced_12mo,-0.0054622403359331755
head_cold_past_30d,0.00535264614994115
db_milk_age_12_17,-0.0053029807274516515
d1_vit_k_mcg,0.005299798625888736
smoke_car_rules_others,0.00525419674650198
wh_weight_current_lb,-0.005160008865150591
sub_fasting_weight,-0.005090694400671411
water_fluoride_mgl,0.005079523501292171
cs_smell_chocolate,-0.00501340429271337
num_children_6_17_in_hh,0.004909806633487393
wh_most_ever_weighed_lb,-0.004906455298729391
cs_nacl_tongue_tip_taste,-0.0048894637541968934
pa_moderate_recreation_ever,0.004659682193546327
inc_wages_salaries,-0.0043502330931294445
fasting_hours_a,0.0042155460138076735
d1_salt_added_at_table_yest,-0.004214883398676017
bp_chol_ever_high,-0.004211738451989061
sardines_past30d,0.0042036260170521065
fish_past30d,0.004194319774149214
fs_adult_food_security_cat,0.004150470787196978
lobsters_past30d,0.004056021162656284
audio_hearing_difficulty,0.0038489098922801666
ethyl_mercury_ugl,-0.0036321975301789136
pf_difficulty_physical_activities,0.0036182687986197532
d1_helper_respondent,0.003360973488943108
other_shellfish_past30d,0.0033448002165280552
tooth_09_count_code,0.0032791692821935413
tooth_19_count_code,-0.0031108056226709212
hepatitis_e_igg,0.003088433969761303
db_ready_to_eat_past_30d,-0.003076252665226996
cs_taste_effort,0.0028347656415631645
osteo_hip_fracture_ever,-0.0028326489470288548
tooth_23_count_code,-0.0027359978055248335
tooth_30_count_code,-0.0027221204716417536
flatfish_past30d,0.002651933013463268
tooth_26_count_code,-0.002587701557699442
d1_days_btw_intake_hhq,0.0024938405782365257
cs_smell_problem_persisting,-0.0024561142789803923
smoke_nicotine_replacement_times,0.00244824585986913
fs_hh_food_security_cat,0.0024467989674507545
tooth_29_count_code,0.0024414915848149014
blood_total_mercury_below_lod,-0.0024262256286906687
diet_2day_weight,0.0023155315597190463
country_of_birth,-0.0022751118315667753
blood_draw_session,0.002232526073819942
cb_money_spent_nonfood_supermarket,0.002189048346379966
hepatitis_a_antibody,-0.002183221377504758
fasting_minutes_a,-0.00196056749509421
mc_currently_increasing_activity,0.0018959623324644149
shrimp_past30d,0.001850513617590443
